feature,importance
cases_per_100k_lag1,19.817207747823797
log_cases_per_100k_lag1,18.49380073872551
log_cases_per_100k_lag2,5.17302852769952
Pop_Density,3.4903385962288067
cases_per_100k_lag12,2.9666441352095076
cases_per_100k_roll3_mean,2.866531157637729
cases_per_100k_lag2,2.497887442508201
log_cases_per_100k_roll12_mean,2.4578199023909084
cases_lag3,2.3741450758392375
cases_lag2,2.2080109883680805
cases_lag12,2.044889260583885
cases_lag1,1.8968812991881387
t2m,1.8120596175356043
cases_per_100k_lag3,1.7859050126870932
Forest_area_pct,1.5719773983700738
log_cases_per_100k_lag12,1.552518887255124
t2m_lag3,1.4678002636265224
log_cases_per_100k_roll3_mean,1.4655678199176747
tp,1.4433194123891568
lai_lv,1.4238455667224517
sp,1.3836660085004149
tp_mm_lag2,1.3612888567620849
GDP_nominal,1.3452438850605914
Rural_pop_pct,1.3247988740976409
GDP_per_capita_PPP,1.299592966332445
log_cases_per_100k_lag3,1.2832528679487967
cases_per_100k_roll6_mean,1.2470806458021007
Gross_capital_formation_pct,1.2177796964522971
t2m_lag1,1.1130870046686887
cos_month,1.0932996032127318
cases_per_100k_roll12_mean,1.0786966493433676
Safe_water_access_pct,0.9692980900621617
sin_month,0.9551021105957306
lai_hv,0.9377380195516506
t2m_lag2,0.8913761006060175
log_cases_per_100k_roll6_mean,0.857323993497053
tp_mm_lag1,0.8444131623832773
Urban_pop_pct,0.6940130552102106
tp_mm_lag3,0.6769746185915744
tp_mm,0.6157949406141251
