subset,MAE,RMSE,R2,sMAPE_%,country,iso3,n_months
MEX,0.2491,0.3246,0.8907,15.33,Messico,MEX,24
GTM,0.3206,0.3903,0.8855,15.87,Guatemala,GTM,24
THA,0.2861,0.3362,0.8707,17.44,Tailandia,THA,24
CRI,0.3488,0.4694,0.814,12.13,Costa Rica,CRI,24
BOL,0.4361,0.552,0.8103,14.29,Bolivia,BOL,24
ARG,0.5257,0.7702,0.7278,90.46,Argentina,ARG,24
PRY,0.6871,0.9453,0.6923,38.91,Paraguay,PRY,24
PER,0.3742,0.4948,0.6665,10.92,Perù,PER,24
HND,0.2936,0.3804,0.6629,10.19,Honduras,HND,24
BRA,0.4677,0.5625,0.5528,10.93,Brasile,BRA,24
URY,0.1378,0.1688,-1.1915,92.7,Uruguay,URY,24
